date,day_name,forecast_quantity
2025-12-17,Wednesday,2.614388288810005
2025-12-18,Thursday,2.630024582398619
2025-12-19,Friday,2.6456608759872324
2025-12-20,Saturday,2.6632320305052417
2025-12-21,Sunday,2.6788683240938553
2025-12-22,Monday,2.7411557291379722
2025-12-23,Tuesday,2.756792022726586
2025-12-24,Wednesday,2.7724283163151995
2025-12-25,Thursday,2.788064609903813
2025-12-26,Friday,2.8037009034924267
2025-12-27,Saturday,2.821272058010436
2025-12-28,Sunday,2.8369083515990496
2025-12-29,Monday,2.796820309753457
2025-12-30,Tuesday,2.8124566033438896
2025-12-31,Wednesday,2.828092896932503
2026-01-01,Thursday,2.780194567854778
2026-01-02,Friday,2.7958308614433918
2026-01-03,Saturday,2.813402015961401
2026-01-04,Sunday,2.8290383095500147
2026-01-05,Monday,2.8913257145923126
2026-01-06,Tuesday,2.906962008180926
2026-01-07,Wednesday,2.922598301771359
2026-01-08,Thursday,2.9382345953599724
2026-01-09,Friday,2.953870888948586
2026-01-10,Saturday,2.9714420434665954
2026-01-11,Sunday,2.987078337055209
2026-01-12,Monday,3.049365742099326
2026-01-13,Tuesday,3.0650020356879395
2026-01-14,Wednesday,3.080638329276553
2026-01-15,Thursday,3.0962746228651667
